mode,episode,seed,reset_success,initial_hl_distance_m,steps,terminated,truncated,termination_reason,outage_steps,warning_steps,min_separation_m,max_hl_distance_m,max_hl_xy_speed_mps,max_hl_abs_z_speed_mps,waypoint_switches,dmax_guard_steps,total_reward
nominal,0,0,True,1129.4583751464813,500,False,True,,0,0,172.4277806010178,1436.8118198547586,9.135194356139092,3.0,3,0,638.2204001578735
nominal,1,1,True,1127.5345128697106,500,False,True,,0,0,222.06803827593635,1811.1649433574887,10.000000000000002,3.0,2,115,549.0020829150561
nominal,2,2,True,1042.4359975794607,500,False,True,,0,0,157.38156149646227,1137.8086707246746,8.678921605760886,3.0,3,0,714.1661711626602
nominal,3,3,True,1301.9600192980974,500,False,True,,0,0,217.167059749616,1301.9600192980974,9.349876328385841,3.0,3,0,643.2220486398005
nominal,4,4,True,1077.486135401205,500,False,True,,0,0,189.43966480527178,1501.122136067205,9.671820172350877,3.0,3,0,615.7491745238799
nominal,5,5,True,1471.225141888525,500,False,True,,0,0,238.0547823520491,1517.54580763678,7.8624906175124245,3.0,3,0,575.7835680303216
nominal,6,6,True,1130.810741472329,500,False,True,,0,0,169.47250104090512,1220.4310786947087,9.038922540391575,3.0,3,0,667.1490915715931
nominal,7,7,True,1036.2181433337716,500,False,True,,0,0,131.60346677918486,1350.775112603177,8.029742932757683,3.0,3,0,681.5371380720559
nominal,8,8,True,1352.408461435804,500,False,True,,0,0,104.76200318072193,1352.408461435804,9.99651415665032,3.0,3,0,808.0359103178974
nominal,9,9,True,1433.2809249931704,500,False,True,,0,0,243.14142805167978,1433.2809249931704,9.593191880127755,3.0,3,0,588.4803249361121
nominal,10,10,True,1103.049116069751,500,False,True,,0,0,111.58877226532806,1103.049116069751,8.613890135604704,3.0,3,0,801.7454844254771
nominal,11,11,True,1232.8250350498865,500,False,True,,0,0,162.90754667734365,1232.8250350498865,8.047634556167223,3.0,2,0,729.8767323403505
nominal,12,12,True,1071.300176462684,500,False,True,,0,0,76.9115305171067,1071.300176462684,9.241392208940336,3.0,3,0,879.2665057652014
nominal,13,13,True,1424.668080694965,500,False,True,,0,0,239.24270123601733,1610.9859495144922,6.900651742248453,3.0,2,0,548.8434555418517
nominal,14,14,True,1470.1761947830587,500,False,True,,0,0,203.20470133098502,1490.4832628122103,8.936237456578791,3.0,4,0,620.4967031479327
nominal,15,15,True,1079.0063623823742,500,False,True,,0,0,202.87300529617164,1448.6503993939677,9.517965072538686,3.0,4,0,630.3707714389196
nominal,16,16,True,1223.3796268919616,500,False,True,,0,0,239.879242627201,1653.9139357490913,8.53998369641394,3.0,3,0,552.815281599201
nominal,17,17,True,1144.8126888822328,500,False,True,,0,0,147.77043473446784,1153.4402380622118,8.645532228895323,3.0,3,0,696.4843841011374
nominal,18,18,True,1098.9698020812605,500,False,True,,0,0,167.04864553464708,1174.9061108354654,7.919090160592575,3.0,4,0,695.7824449488112
nominal,19,19,True,1255.7458512466299,500,False,True,,0,0,241.69849575169098,1395.0185538375474,7.157459783098284,3.0,3,0,593.5701065997821
zero_action,0,1000000,True,1063.3550262025644,399,True,False,persistent_outage,25,54,43.08061967782541,1063.3550262025644,8.253166496561354,3.0,3,0,459.5194690636248
