total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,5,116.35891747312738,104.8,-0.005094867153093219,124.18564376831054,-0.24076999276876448,0.005857290558924433,0.0288818359375,0.5016779653728008,54.742922115325925,16.002504348754883,5.633652210235596,0.015926843509078026,0.23296433687210083,0.0,0.2541272044181824,0.25636914372444153,0.2583932876586914,-1.5024112462997437,-1.4981919527053833,-1.4944157600402832,0.0,1.0
2048,2,10,132.95294375028087,112.5,-0.003234676388092339,130.5986171722412,-0.2352197512984276,0.002820948846056126,0.0243408203125,0.554399487376213,40.314195251464845,15.288022994995117,7.515299320220947,0.014355219900608063,0.23670148849487305,0.0,0.2538503408432007,0.257181316614151,0.25979694724082947,-1.502930760383606,-1.496684193611145,-1.4917888641357422,0.0,1.0
3072,3,8,130.92248291175437,112.375,-0.004516108578536659,128.58968753814696,-0.22987859547138215,0.003546105060377158,0.035595703125,0.5463909469544888,55.70469436645508,15.561294555664062,7.452768802642822,0.00986088253557682,0.23688746988773346,0.0,0.2552376389503479,0.25860661268234253,0.26108643412590027,-1.5003284215927124,-1.494022250175476,-1.4893771409988403,0.0,1.0
4096,4,9,138.5442344968544,115.33333333333333,-0.004119536017242353,113.70781707763672,-0.22366216778755188,0.004939903973718174,0.0275390625,0.5582269810140132,67.5513147354126,14.9032564163208,6.928720951080322,0.011319278739392757,0.23416215181350708,0.0,0.25593051314353943,0.2589718699455261,0.261127769947052,-1.4990293979644775,-1.4933255910873413,-1.4892997741699219,0.0,1.0
5120,5,8,142.90189980430407,130.125,-0.004655079235089943,89.25299310684204,-0.2255363017320633,0.006325279775774106,0.04697265625,0.605531907081604,73.75178451538086,13.135420799255371,7.4823079109191895,0.005585948005318642,0.2359255701303482,0.0,0.2556855082511902,0.2581314742565155,0.26008138060569763,-1.4994887113571167,-1.4949313402175903,-1.4912567138671875,0.0,1.0
6144,6,9,137.8770517755239,116.44444444444444,-0.004254381643841043,91.3491641998291,-0.22660911902785302,0.004809187234786805,0.0339599609375,0.5203120820224285,93.3440544128418,14.61790657043457,5.985742568969727,-0.0015643835067749023,0.2347271889448166,0.0,0.25544026494026184,0.25889039039611816,0.2606533467769623,-1.499948501586914,-1.4934821128845215,-1.4901869297027588,0.0,1.0
7168,7,9,141.16314822576544,119.33333333333333,-0.004355738393496722,78.96227111816407,-0.22258024103939533,0.004394979620701634,0.034912109375,0.5199045017361641,95.83180046081543,12.437040328979492,6.942190647125244,-0.004931729752570391,0.23805275559425354,0.0,0.2560902535915375,0.2591150104999542,0.26107436418533325,-1.498729944229126,-1.4930583238601685,-1.4893996715545654,0.0,1.0
8192,8,9,142.32063144537724,122.66666666666667,-0.0035223426879383624,66.33079195022583,-0.22662120163440705,0.0029038364562438803,0.0344482421875,0.596332936361432,102.99971418380737,13.217934608459473,6.126407146453857,-0.0007329750806093216,0.23625046014785767,0.0,0.25435465574264526,0.25738582015037537,0.2599383294582367,-1.5019845962524414,-1.4963067770004272,-1.4915242195129395,0.0,1.0
9216,9,8,141.8048273963795,115.75,-0.004360740003176033,75.87661371231079,-0.2387622579932213,0.004576666797220241,0.0375,0.5651715070009231,109.41582412719727,12.5464506149292,6.247611999511719,-0.004038942977786064,0.2381451278924942,0.0,0.2503707706928253,0.25496387481689453,0.25888216495513916,-1.5094656944274902,-1.5008530616760254,-1.4935007095336914,0.0,1.0
10240,10,9,129.00683201038132,108.0,-0.003513150254730135,73.21369085311889,-0.24839847534894943,0.0046757771706325,0.044921875,0.6613299898803234,96.15849933624267,12.232749938964844,6.556814670562744,-0.005699038039892912,0.23607155680656433,0.0,0.2500854730606079,0.254313200712204,0.25694945454597473,-1.5100020170211792,-1.5020651817321777,-1.4971199035644531,0.0,1.0
