total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.004659129644278437,165.55319786071777,-0.24494286701083184,0.004676009088871069,0.0338134765625,0.4827581331133842,58.483475875854495,18.617279052734375,4.879324913024902,18.577421188354492,4.933650493621826,-0.03985654562711716,0.15131768584251404,0.02190121475218665,1.084787130355835,82.2386245727539,0.35,1.0,0.02150256372988224,0.21784786880016327,0.0,0.25261321663856506,0.25496378540992737,0.25739890336990356,-1.5052528381347656,-1.5008525848388672,-1.496277928352356,0.0,1.0
2048,2,9,192.58767110543238,163.44444444444446,-0.0025050356460269542,121.36156616210937,-0.24699996039271355,0.004551842891669366,0.02451171875,0.4734156023710966,51.712588214874266,14.633691787719727,8.283774375915527,15.105213165283203,7.326083183288574,0.47152087092399597,2.2053987979888916,-0.2785356559985721,1.076704740524292,65.52882385253906,0.35,1.0,0.01940419338643551,0.21777069568634033,0.0,0.25291571021080017,0.2545372247695923,0.25691208243370056,-1.5046849250793457,-1.5016473531723022,-1.497189998626709,0.0,1.0
3072,3,5,177.30308469451927,162.2,-0.005570878513390198,110.46364612579346,-0.24624718427658082,0.004401275308919139,0.0712158203125,0.6071830060333013,59.49653949737549,13.029150009155273,9.276106834411621,15.49454116821289,9.01227855682373,2.4653916358947754,2.8486104011535645,-0.05940568926699763,1.108199954032898,71.58428192138672,0.725,1.0,0.018210208043456078,0.21857474744319916,0.0,0.2538788318634033,0.2553764879703522,0.25684624910354614,-1.5028773546218872,-1.500050663948059,-1.4973132610321045,0.0,1.0
4096,4,6,176.36541171347187,164.0,-0.005004240397829563,106.30032787322997,-0.24426838308572768,0.0053656561867683195,0.031396484375,0.5142431512475014,73.89925632476806,14.716184616088867,7.4488983154296875,16.255687713623047,7.399590015411377,1.5395032167434692,3.4308671951293945,-0.013371892218475567,0.8471261858940125,83.27903747558594,0.5,1.0,0.019049840047955513,0.21780548989772797,0.0,0.2540501058101654,0.2549392580986023,0.2562549412250519,-1.5025559663772583,-1.5008991956710815,-1.498421311378479,0.0,1.0
5120,5,8,184.8222415827752,168.5,-0.003495367901632562,85.50900793075562,-0.24545723125338553,0.006728182476945221,0.0286865234375,0.45995237976312636,92.26183490753174,13.817463874816895,7.423381328582764,15.657207489013672,9.772802352905273,1.839743733406067,4.12653923034668,0.4230138848215702,0.9450353980064392,124.9577865600586,0.375,1.0,0.02359389327466488,0.22007082402706146,0.0,0.254250168800354,0.2554525136947632,0.2565779685974121,-1.502180576324463,-1.4999245405197144,-1.4978159666061401,0.0,1.0
6144,6,7,161.11331735672204,162.14285714285714,-0.00445549855940044,79.37732896804809,-0.24233277812600135,0.003726258856477216,0.0399169921875,0.5243282124400139,89.49156169891357,11.24603271484375,9.789141654968262,15.074165344238281,12.429408073425293,3.8281326293945312,4.846502304077148,0.37971912697423504,0.8352925777435303,125.44383239746094,0.6,1.0,0.029629552736878395,0.21787899732589722,0.0,0.25461333990097046,0.25563523173332214,0.2576712667942047,-1.5014992952346802,-1.4995802640914917,-1.4957678318023682,0.0,1.0
7168,7,5,153.2226322258671,156.2,-0.005106787744443864,94.59154415130615,-0.2419820986688137,0.003819273413682822,0.03388671875,0.4738648638129234,109.91899909973145,12.085561752319336,9.08347225189209,21.477224349975586,12.997420310974121,9.39166259765625,6.361281871795654,0.511584439309487,0.7447272539138794,130.33702087402344,0.4,1.0,0.032750289887189865,0.21923178434371948,0.0,0.25526776909828186,0.25577935576438904,0.2563101351261139,-1.5002720355987549,-1.4993022680282593,-1.4983179569244385,0.0,1.0
8192,8,7,174.93609536519847,158.71428571428572,-0.005463846609927714,85.84096879959107,-0.23823020458221436,0.004343803769734223,0.04482421875,0.5399356678128242,117.6911605834961,12.207083702087402,10.475846290588379,22.374792098999023,11.6512451171875,10.167709350585938,6.916225433349609,0.19158646488338127,0.9274818301200867,203.15782165527344,0.55,1.0,0.03312152251601219,0.22193096578121185,0.0,0.2554514408111572,0.25697264075279236,0.2591254413127899,-1.4999275207519531,-1.4970988035202026,-1.4930453300476074,0.0,1.0
9216,9,5,175.4535473091417,140.0,-0.004240949801169336,80.33572816848755,-0.23643939048051835,0.001990005653351545,0.0236328125,0.4587032161653042,121.6146842956543,12.868331909179688,9.18661117553711,22.798786163330078,11.922501564025879,9.930455207824707,7.516358375549316,0.40628787258624943,0.6617816686630249,252.68251037597656,0.375,1.0,0.0447230190038681,0.21994122862815857,0.0,0.2546401917934418,0.25602200627326965,0.2578037977218628,-1.5014488697052002,-1.4988632202148438,-1.4955196380615234,0.0,1.0
10240,10,8,191.59211455757082,164.5,-0.005164203583262861,78.13610467910766,-0.24366715773940087,0.0036965511942980813,0.0410400390625,0.5211095601320267,101.26954765319825,10.595640182495117,9.378789901733398,24.978790283203125,12.849007606506348,14.383151054382324,6.567276954650879,0.46721198071575964,0.8293231725692749,162.8737335205078,0.6,1.0,0.03896959498524666,0.2218427062034607,0.0,0.2538817822933197,0.2546332776546478,0.25586795806884766,-1.5028717517852783,-1.5014801025390625,-1.4991466999053955,0.0,1.0
