candidate,value_normalization,gamma,gae_lambda,run_seed,update,protocol_sha256,validation_seed_count,safety_priority_key,episodes,total_steps,normal_completion_count,collision_count,boundary_count,persistent_outage_count,speed_accel_violations,outage_step_ratio,rate_satisfaction_ratio,mean_e2e_rate_mbps,mean_return,mean_acceleration_mps2,action_saturation_ratio,movement_distance_m,min_link_margin_db,min_separation_m,max_xy_speed_mps,max_abs_z_speed_mps,max_xy_accel_mps2,max_abs_z_accel_mps2
V0H0,False,0.99,0.95,2026,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.05894240212864912,-0.914988854605251,-6.94026482827378]",20,3542,0,0,14,6,0,0.05894240212864912,0.914988854605251,6.94026482827378,190.87310946325357,0.25239594161422463,0.0,638.7637552314719,-1.8413351670880278,27.393254430146484,16.669777982669586,6.0,0.5993838741171903,0.5217281579971322
V0H0,False,0.99,0.95,2026,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.04138949874850162,-0.9543953966656028,-7.11157441472516]",20,2569,0,0,17,3,0,0.04138949874850162,0.9543953966656028,7.11157441472516,140.59001997083016,0.3809520420555816,0.0,472.68471566332636,-1.6207094767514434,100.53392864579816,20.000000000000004,6.0,0.7696838793853208,0.6396481394767761
V0H0,False,0.99,0.95,2026,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,10.0,10.0,0.07955027039547016,-0.913715677048485,-6.82708573868139]",20,3133,0,0,10,10,0,0.07955027039547016,0.913715677048485,6.82708573868139,159.86317210430494,0.3347229403965236,0.0,625.3006473034571,-11.439895089366996,37.72734734901062,20.000000000000004,6.0,0.8493779445445656,0.5180257558822632
V0H0,False,0.99,0.95,2026,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,19.0,1.0,0.02691101083911062,-0.9561558960859127,-7.249995785077026]",20,2809,0,1,18,1,0,0.02691101083911062,0.9561558960859127,7.249995785077026,160.22556898254675,0.39129292436100965,0.0,616.1151034398612,-1.255366672589811,19.953103043410923,20.000000000000004,5.0,0.9452897025464062,0.43452516198158264
V0H0,False,0.99,0.95,2027,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,3.0,17.0,0.1112513552282121,-0.812687071300141,-6.389004087783991]",20,4088,0,0,3,17,0,0.1112513552282121,0.812687071300141,6.389004087783991,191.24638135445005,0.3848446243506634,0.0,1140.2929248022642,-2.7403909194718277,26.031394455872935,20.000000000000007,5.8345821388764305,1.163027620444186,0.367399126291275
V0H0,False,0.99,0.95,2027,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,0.0,20.0,0.1158619737347428,-0.8305639256808914,-6.431416836365448]",20,4533,0,0,0,20,0,0.1158619737347428,0.8305639256808914,6.431416836365448,213.44517613241237,0.24257780884362265,0.0,935.1633463102123,-1.6326243836622059,24.534884120916423,20.000000000000004,3.444550705165602,0.8744302786587573,0.29993724822998047
V0H0,False,0.99,0.95,2027,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,3.0,17.0,0.11868670736812932,-0.8323703169823655,-6.407147697006184]",20,3920,0,0,3,17,0,0.11868670736812932,0.8323703169823655,6.407147697006184,183.0558760000079,0.3963822542487308,0.0,1049.1198170918901,-1.5560962272591201,54.978193318360596,20.000000000000007,3.8852504596114152,1.2666714364906695,0.5796691179275513
V0H0,False,0.99,0.95,2027,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,12.0,8.0,0.0752243179823747,-0.8718065466509566,-6.704309820689673]",20,3454,0,0,12,8,0,0.0752243179823747,0.8718065466509566,6.704309820689673,175.11768404434582,0.48878567204521284,0.0,1032.013550412662,-1.818522981721689,44.74377989246904,20.000000000000004,6.0,1.2332452385464516,0.667185008525848
V0H0,False,0.99,0.95,2028,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,16.0,4.0,0.03705350559804764,-0.9458499658281847,-7.1431995817433105]",20,3387,0,0,16,4,0,0.03705350559804764,0.9458499658281847,7.1431995817433105,190.50451561010374,0.22658466760513543,0.0,433.3163241522854,-1.0077092639794563,48.09607250276176,12.168945844311635,6.0,0.5914068982920051,0.48904094099998296
V0H0,False,0.99,0.95,2028,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.04640249380660446,-0.9174454023966438,-7.051657923405631]",20,3435,0,1,16,3,0,0.04640249380660446,0.9174454023966438,7.051657923405631,186.39263042122016,0.30767429904222,0.0,647.711028486837,-1.9576922938700863,19.81003711853252,20.000000000000004,6.0,1.151955396296895,0.45067474246025085
