total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.0031259325915016234,166.15307655334473,-0.2455015189945698,0.0038974614275502973,0.0354736328125,0.496318743377924,59.963184452056886,18.67906951904297,4.857887268066406,18.627756118774414,4.9060211181640625,-0.05131383612751961,0.1292521357536316,0.01952605913932104,1.104976773262024,83.52266693115234,0.35,1.0,0.0,1.0,0.0,0.0,0.023381397128105164,0.21900270879268646,0.0,0.2523445188999176,0.25457730889320374,0.25689759850502014,-1.505757451057434,-1.5015654563903809,-1.497217059135437,0.0,1.0
2048,2,5,209.3334980282504,204.8,-0.0036018184502609072,114.21080570220947,-0.25189873948693275,0.0046420599624980245,0.0332763671875,0.5140181299299001,56.87036418914795,12.236614227294922,10.749807357788086,14.124582290649414,10.617718696594238,1.8879679441452026,1.9790712594985962,-0.025035494603902197,0.8844753503799438,72.98436737060547,0.425,1.0,0.0,1.0,0.0,0.0,0.023583650588989258,0.21856637299060822,0.0,0.25180137157440186,0.2531487047672272,0.25483331084251404,-1.5067775249481201,-1.504259705543518,-1.501086711883545,0.0,1.0
3072,3,3,319.53846046838817,278.0,-0.005541753716534004,118.28601722717285,-0.2535663768649101,0.006595237203873694,0.051416015625,0.4778920948505402,97.18826656341552,15.964601516723633,8.333664894104004,18.349729537963867,6.889921188354492,2.3851284980773926,3.456747531890869,-0.46299735472972325,1.0679757595062256,104.64432525634766,0.35,1.0,0.0,1.0,0.0,0.0,0.013278688304126263,0.22012685239315033,0.0,0.25303664803504944,0.2544775605201721,0.2569715082645416,-1.504457950592041,-1.501741886138916,-1.4970786571502686,0.0,1.0
4096,4,8,196.74583338607448,205.0,-0.004011428967351094,110.67414989471436,-0.24707646295428276,0.002657535544130951,0.0275146484375,0.5140471041202546,68.9956488609314,10.686206817626953,13.06168270111084,13.125617027282715,10.75178337097168,2.4394102096557617,5.6954345703125,-0.475832857271828,0.9541012048721313,81.69688415527344,0.525,1.0,0.0,1.0,0.0,0.0,0.006034984719008207,0.21848934888839722,0.0,0.2517572045326233,0.2546437084674835,0.2575407326221466,-1.5068604946136475,-1.5014337301254272,-1.4960122108459473,0.0,1.0
5120,5,6,181.8092628850311,173.33333333333334,-0.003325107105774805,96.62213954925537,-0.24680249020457268,0.004130207034177147,0.0306640625,0.4916249766945839,90.22110366821289,13.03990364074707,9.323098182678223,16.967973709106445,9.597057342529297,3.9280710220336914,4.591231346130371,0.05627736769347802,0.7969871163368225,99.69116973876953,0.5,1.0,0.0,1.0,0.0,0.0,0.0037297967355698347,0.21942593157291412,0.0,0.2519937753677368,0.25504398345947266,0.25899049639701843,-1.5064160823822021,-1.5007082223892212,-1.493297815322876,0.0,1.0
6144,6,5,167.59835229795203,178.6,-0.00210863146930933,105.99302654266357,-0.24960541725158691,0.0027750833411118946,0.0117919921875,0.5262077808380127,111.74675960540772,12.626580238342285,11.297972679138184,18.328548431396484,11.90726089477539,5.701967716217041,3.8844833374023438,0.09972052548052113,0.8978530168533325,141.89984130859375,0.6,1.0,0.0,1.0,0.0,0.0,-0.0034816942643374205,0.21808329224586487,0.0,0.25027546286582947,0.2530047595500946,0.2560831606388092,-1.509644865989685,-1.504538893699646,-1.4987432956695557,0.0,1.0
7168,7,5,222.43583904217545,178.2,-0.004884684854187071,85.71718101501465,-0.2607433073222637,0.004818681383039802,0.0478271484375,0.5338295258581638,115.44477729797363,13.670974731445312,6.8980607986450195,22.229637145996094,7.795571327209473,8.558663368225098,3.182743787765503,0.21700656481685343,1.183252215385437,150.97918701171875,0.475,1.0,0.0,1.0,0.0,0.0,-0.005243240389972925,0.21884672343730927,0.0,0.24991375207901,0.25184619426727295,0.25374385714530945,-1.5103248357772827,-1.5067087411880493,-1.503130555152893,0.0,1.0
8192,8,6,195.00547274940106,190.16666666666666,-0.0031035272462759168,94.06411933898926,-0.2650449961423874,0.0024559446508646944,0.013671875,0.44513273909687995,118.12445278167725,11.722492218017578,9.98223876953125,23.645641326904297,12.427133560180664,11.923150062561035,4.8068037033081055,0.35477080291606333,0.8594096302986145,150.7450714111328,0.275,1.0,0.0,1.0,0.0,0.0,-0.010131715796887875,0.22165879607200623,0.0,0.24916507303714752,0.2513071596622467,0.25372838973999023,-1.5117326974868774,-1.5076980590820312,-1.5031596422195435,0.0,1.0
9216,9,6,206.98254999032693,186.83333333333334,-0.003074258926790208,79.18034553527832,-0.2640579015016556,0.003802423940214794,0.0322021484375,0.49824598617851734,99.67910118103028,10.579011917114258,8.986418724060059,23.5380859375,12.488175392150879,12.959073066711426,6.724440574645996,0.4821841418149839,0.9508708715438843,133.91943359375,0.475,1.0,0.0,1.0,0.0,0.0,-0.010222855024039745,0.2193620800971985,0.0,0.25113052129745483,0.25236132740974426,0.25348708033561707,-1.508037805557251,-1.5057176351547241,-1.5036125183105469,0.0,1.0
10240,10,5,190.4276861085065,178.6,-0.0029365886526647954,79.39126501083373,-0.25792151764035226,0.0026918814604869113,0.019384765625,0.43600033037364483,111.8899621963501,11.866874694824219,7.841574668884277,24.901514053344727,14.18646240234375,13.034640312194824,8.761787414550781,0.6944668428286829,0.7103071808815002,145.04733276367188,0.35,1.0,0.0,1.0,0.0,0.0,-0.001939615118317306,0.2201823741197586,0.0,0.2517545223236084,0.25290319323539734,0.25357958674430847,-1.5068655014038086,-1.5047296285629272,-1.5034388303756714,0.0,1.0
11264,11,6,193.39870699704144,168.5,-0.002559573930921033,69.09786319732666,-0.2580621652305126,0.0025293374361353925,0.01630859375,0.40901296101510526,101.74435081481934,11.295263290405273,7.071744918823242,23.986042022705078,16.001983642578125,12.690778732299805,11.229607582092285,0.8046985259311822,0.755116879940033,151.94314575195312,0.25,1.0,0.0,1.0,0.0,0.0,-0.00012413552030920982,0.22107666730880737,0.0,0.25079137086868286,0.25276023149490356,0.2540896236896515,-1.5086750984191895,-1.5050023794174194,-1.5024818181991577,0.0,1.0
12288,12,7,156.07749232143811,155.42857142857142,-0.0018241070618387311,66.14428949356079,-0.2578324042260647,0.002614023112982977,0.0141357421875,0.38663564473390577,79.01176099777221,9.948139190673828,9.011112213134766,20.999414443969727,18.56657600402832,11.051277160644531,15.429150581359863,0.7644445135458869,0.7801561951637268,118.1555404663086,0.2,1.0,0.0,1.0,0.0,0.0,0.0015765739372000098,0.21889027953147888,0.0,0.25004979968070984,0.25277361273765564,0.25429248809814453,-1.5100690126419067,-1.504928708076477,-1.502101182937622,0.0,1.0
