variant,run_seed,update,normal,persistent_outage,collision,boundary,hard_speed_accel_violations
P3,2026,50,0,6,0,14,0
P3,2026,100,0,13,1,6,0
P3,2026,150,0,19,0,1,0
P3,2026,200,0,19,1,0,0
P3,2026,250,0,19,1,0,0
P3,2026,300,0,19,1,0,0
P3,2026,350,1,17,2,0,0
P3,2026,400,0,19,0,1,0
P3,2026,450,0,18,0,2,0
P3,2026,500,0,16,0,4,0
P3,2026,550,0,12,0,8,0
P3,2026,600,0,10,0,10,0
P3,2026,650,0,10,0,10,0
P3,2026,700,0,13,0,7,0
P3,2026,750,0,15,0,5,0
P3,2026,800,0,12,1,7,0
P3,2026,850,0,12,2,6,0
P3,2026,900,0,17,0,3,0
P3,2026,950,0,17,0,3,0
P3,2026,1000,0,17,0,3,0
P4,2026,50,0,8,0,12,0
P4,2026,100,0,8,0,12,0
P4,2026,150,0,18,1,1,0
P4,2026,200,0,15,1,4,0
P4,2026,250,0,17,2,1,0
P4,2026,300,0,19,1,0,0
P4,2026,350,0,20,0,0,0
P4,2026,400,0,19,1,0,0
P4,2026,450,0,19,1,0,0
P4,2026,500,0,18,2,0,0
P4,2026,550,0,20,0,0,0
P4,2026,600,0,20,0,0,0
P4,2026,650,0,19,1,0,0
P4,2026,700,0,19,1,0,0
P4,2026,750,0,20,0,0,0
P4,2026,800,0,20,0,0,0
P4,2026,850,0,20,0,0,0
P4,2026,900,0,20,0,0,0
P4,2026,950,0,20,0,0,0
P4,2026,1000,0,20,0,0,0
