total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,value_target_mean,value_target_std,value_prediction_mean_pre,value_prediction_std_pre,explained_variance_pre,actor_grad_norm_max,critic_grad_norm_max,actor_grad_clip_fraction,critic_grad_clip_fraction,value_normalizer_mean,value_normalizer_std,value_normalizer_count,hard_speed_accel_violations,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.0030653948662802575,168.02853546142578,-0.24574825465679168,0.003311851456237491,0.0281982421875,0.41352918930351734,59.09305105209351,18.72508430480957,5.102460861206055,18.676353454589844,5.111302375793457,-0.048732347786426544,0.16250014305114746,0.003456498295186683,0.8549728989601135,82.78095245361328,0.275,1.0,0.0,1.0,0.0,0.0,0.03612237423658371,0.21569488942623138,0.0,0.2526109516620636,0.25447434186935425,0.25544384121894836,-1.5052571296691895,-1.5017727613449097,-1.4999418258666992,0.0,1.0
2048,2,7,206.66835261569662,211.71428571428572,-0.0020960866007953883,105.22498626708985,-0.25017882883548737,0.0016273553716018795,0.0108154296875,0.4770673431456089,37.008507871627806,9.922779083251953,11.702286720275879,11.551311492919922,11.26373291015625,1.6285319328308105,2.2133867740631104,-0.07938599400787871,0.7433347105979919,52.719364166259766,0.4,1.0,0.0,1.0,0.0,0.0,0.03601236641407013,0.21846044063568115,0.0,0.25170382857322693,0.2539009153842926,0.25499314069747925,-1.5069607496261597,-1.5028523206710815,-1.5007870197296143,0.0,1.0
3072,3,1,327.6017207894054,321.0,-0.00453428418841213,131.37001247406005,-0.2541798911988735,0.00391179554280825,0.0188232421875,0.43385319598019123,88.28656482696533,16.14532470703125,8.257621765136719,18.41672706604004,7.718467712402344,2.271404266357422,2.9120595455169678,-0.1445844426481484,0.8425825238227844,104.06874084472656,0.275,1.0,0.0,1.0,0.0,0.0,0.042231183499097824,0.21634437143802643,0.0,0.2520048916339874,0.25295522809028625,0.25415417551994324,-1.5063953399658203,-1.5045933723449707,-1.5023607015609741,0.0,1.0
4096,4,6,240.6061152791966,226.16666666666666,-0.003013513202313334,99.81976203918457,-0.2567287914454937,0.0018135773367248475,0.01689453125,0.37757683619856836,86.12837162017823,13.042671203613281,9.791749000549316,16.203088760375977,9.842185020446777,3.1604175567626953,3.8213346004486084,0.010222636764920301,0.6377343535423279,95.15862274169922,0.2,1.0,0.0,1.0,0.0,0.0,0.05520458146929741,0.2183949500322342,0.0,0.2523716688156128,0.25325486063957214,0.25457608699798584,-1.5057064294815063,-1.5040539503097534,-1.501569151878357,0.0,1.0
5120,5,4,310.7724032892596,255.0,-0.0040307312970981005,96.25808506011963,-0.2554985374212265,0.004844606791448314,0.042138671875,0.5703096322715282,104.64203281402588,15.367470741271973,6.2286787033081055,19.308391571044922,7.599339008331299,3.940922737121582,3.528916358947754,0.3281996773534568,0.9332970380783081,129.47598266601562,0.65,1.0,0.0,1.0,0.0,0.0,0.05094362422823906,0.21920697391033173,0.0,0.2512139678001404,0.2530162036418915,0.2558290362358093,-1.5078810453414917,-1.5044840574264526,-1.4992196559906006,0.0,1.0
6144,6,6,228.41436220264822,210.16666666666666,-0.004325293569127098,115.03299121856689,-0.2555364049971104,0.0041917370981536806,0.0335205078125,0.424425246566534,115.84539470672607,14.036617279052734,10.168174743652344,20.657678604125977,12.468631744384766,6.621060848236084,6.588898181915283,0.3349590185303023,0.7789918184280396,134.43699645996094,0.3,1.0,0.0,1.0,0.0,0.0,0.06263475865125656,0.21547798812389374,0.0,0.25053709745407104,0.25366219878196716,0.2565575838088989,-1.5091530084609985,-1.5032844543457031,-1.497854232788086,0.0,1.0
7168,7,6,211.35251221611625,201.83333333333334,-0.0044446154381148515,81.12757053375245,-0.2521239869296551,0.0031168217668891885,0.03681640625,0.5193242400884628,71.09393367767333,9.310102462768555,11.604938507080078,13.989084243774414,14.987201690673828,4.678981304168701,9.753500938415527,0.40042348559456553,0.9598258137702942,86.51419830322266,0.475,1.0,0.0,1.0,0.0,0.0,0.052512068301439285,0.21896839141845703,0.0,0.25164875388145447,0.2538314461708069,0.2561836242675781,-1.5070642232894897,-1.5029468536376953,-1.4985549449920654,0.0,1.0
8192,8,4,137.79599036218985,157.25,-0.0044114184333011505,83.62881956100463,-0.2507162019610405,0.007880192830634769,0.0491455078125,0.4730215147137642,107.17191886901855,11.803553581237793,10.113308906555176,20.274227142333984,13.146141052246094,8.470673561096191,7.722169399261475,0.408179533224055,0.8529756665229797,154.7196807861328,0.375,1.0,0.0,1.0,0.0,0.0,0.04916028305888176,0.21888118982315063,0.0,0.2522096037864685,0.2543332278728485,0.2567945420742035,-1.5060107707977295,-1.502022624015808,-1.4974101781845093,0.0,1.0
9216,9,6,207.436655933648,196.0,-0.004611699027009308,94.293381690979,-0.24781659990549088,0.0030540373380063103,0.0494873046875,0.5297317486256361,114.34296741485596,13.42397689819336,7.826105117797852,23.122695922851562,14.282698631286621,9.69871997833252,10.235595703125,0.6997584455002808,0.8842992782592773,133.61264038085938,0.525,1.0,0.0,1.0,0.0,0.0,0.058602213859558105,0.2203490287065506,0.0,0.25322553515434265,0.254938006401062,0.25747865438461304,-1.504103422164917,-1.500909686088562,-1.4961285591125488,0.0,1.0
10240,10,3,182.74315341447974,204.0,-0.004038006986957043,73.43208494186402,-0.2448104739189148,0.003155196456646081,0.050927734375,0.4779187522828579,98.53352966308594,11.15921688079834,9.678252220153809,16.932851791381836,17.716917037963867,5.7736358642578125,12.905895233154297,0.7015871037628731,1.065861463546753,170.02108764648438,0.375,1.0,0.0,1.0,0.0,0.0,0.04503064230084419,0.22495345771312714,0.0,0.2518005073070526,0.25520843267440796,0.258283793926239,-1.5067791938781738,-1.500382900238037,-1.4946208000183105,0.0,1.0
