total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.005269740876974538,139.55905284881592,-0.24783124029636383,0.0018942802140372804,0.0347900390625,0.366462367400527,53.73273706436157,17.190750122070312,4.459379196166992,0.015214011073112488,0.21543315052986145,0.0,0.25327420234680176,0.25374889373779297,0.25429877638816833,-1.5040119886398315,-1.5031040906906128,-1.5020893812179565,0.0,1.0
2048,2,8,183.4180544724491,174.875,-0.004310524195898324,116.27146472930909,-0.2532919026911259,0.004932803226984106,0.049951171875,0.485870349034667,42.926076602935794,13.358940124511719,9.252017974853516,0.007311385590583086,0.2156795859336853,0.0,0.2510167062282562,0.2538461685180664,0.2557009160518646,-1.508251667022705,-1.5029324293136597,-1.4994598627090454,0.0,1.0
3072,3,5,166.3122582969253,159.8,-0.004138725157827139,129.76719093322754,-0.24964592531323432,0.006222135308780708,0.0345703125,0.45665310956537725,76.35601692199707,14.811380386352539,9.330277442932129,0.014590811915695667,0.21433880925178528,0.0,0.248626708984375,0.2547266185283661,0.258395254611969,-1.5127453804016113,-1.5012739896774292,-1.4944121837615967,0.0,1.0
4096,4,6,217.8749666230884,191.83333333333334,-0.0032436702866107227,113.75019721984863,-0.24569667354226113,0.0037383509581559336,0.0374755859375,0.41890118457376957,63.39659223556519,13.816530227661133,9.7605562210083,0.01091068983078003,0.21553093194961548,0.0,0.24911366403102875,0.25512656569480896,0.2584339678287506,-1.5118293762207031,-1.5005525350570679,-1.4943397045135498,0.0,1.0
5120,5,6,158.3922961178085,171.33333333333334,-0.004865545290522277,95.80176334381103,-0.24528455585241318,0.0061338218380115,0.036572265625,0.4547693066298962,95.78532485961914,11.494010925292969,11.039931297302246,0.006878592073917389,0.21407011151313782,0.0,0.24936294555664062,0.25488439202308655,0.2578507363796234,-1.5113605260849,-1.5009856224060059,-1.495431661605835,0.0,1.0
6144,6,6,200.25353273137384,171.66666666666666,-0.004410637449473143,100.52411289215088,-0.24726807624101638,0.006122312763181981,0.0424072265625,0.4659352574497461,106.18801326751709,14.207778930664062,8.155545234680176,0.0036340125370770693,0.21480481326580048,0.0,0.24867159128189087,0.25455573201179504,0.25779086351394653,-1.5126609802246094,-1.5016275644302368,-1.4955438375473022,0.0,1.0
7168,7,3,259.8423131159437,231.33333333333334,-0.003194420202635229,83.19024419784546,-0.24668336659669876,0.0014478488228633069,0.0197021484375,0.4269704185426235,119.19536228179932,13.713300704956055,6.955739974975586,-0.006184631492942572,0.21481148898601532,0.0,0.2507282495498657,0.25510045886039734,0.25979432463645935,-1.508793830871582,-1.5006154775619507,-1.4917936325073242,0.0,1.0
8192,8,6,207.61470901689935,213.83333333333334,-0.0036721640673931686,80.22218809127807,-0.2453113354742527,0.004612446637474931,0.0310791015625,0.47555410079658034,83.37054328918457,8.221136093139648,11.048189163208008,-0.005418365355581045,0.21479585766792297,0.0,0.25214430689811707,0.25474634766578674,0.25712597370147705,-1.5061334371566772,-1.501231074333191,-1.4967892169952393,0.0,1.0
9216,9,3,272.0690404793775,253.33333333333334,-0.003123014571610838,93.42672348022461,-0.25095843970775605,0.004152787574275863,0.0266357421875,0.45428335592150687,129.2567497253418,14.081132888793945,7.5898942947387695,-0.013582791201770306,0.21617673337459564,0.0,0.2514474093914032,0.2532552480697632,0.255765825510025,-1.5074424743652344,-1.5040473937988281,-1.499338150024414,0.0,1.0
10240,10,6,224.1327501313192,203.33333333333334,-0.0032136889290995895,109.66027526855468,-0.2565608128905296,0.003320520558918361,0.02158203125,0.44119224064052104,124.54830474853516,11.855789184570312,10.613702774047852,-0.01276145875453949,0.21430295705795288,0.0,0.25085535645484924,0.25309285521507263,0.2573978304862976,-1.5085549354553223,-1.5043481588363647,-1.4962799549102783,0.0,1.0
