total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,6,116.13704302931977,103.0,-0.0075388706754893064,121.50540103912354,-0.2436138041317463,0.0075876152521232145,0.0618408203125,0.5273452885448933,44.77856292724609,15.47422981262207,5.780154228210449,0.0039802975952625275,0.229490265250206,0.0,0.2543392479419708,0.25526946783065796,0.2559815049171448,-1.5020134449005127,-1.5002747774124146,-1.4989337921142578,0.0,1.0
2048,2,7,141.3135067129089,120.85714285714286,-0.006917216023430229,133.24749011993407,-0.24274491891264915,0.005390819444437511,0.05576171875,0.5230174854397773,51.37646064758301,15.741381645202637,7.251667022705078,0.005688481032848358,0.23030778765678406,0.0,0.2545543313026428,0.25592055916786194,0.2577149569988251,-1.5016100406646729,-1.4990545511245728,-1.4956860542297363,0.0,1.0
3072,3,8,132.82298933636054,117.875,-0.004745602086768485,131.87849140167236,-0.23716044425964355,0.002535385885857977,0.051806640625,0.527667547762394,56.27054290771484,15.917912483215332,7.5539445877075195,-0.0014459657249972224,0.22747960686683655,0.0,0.25538066029548645,0.2568961977958679,0.2583068907260895,-1.5000603199005127,-1.4972318410873413,-1.4945775270462036,0.0,1.0
4096,4,9,150.10616425828312,124.88888888888889,-0.005410848569590598,110.23282985687256,-0.2360916830599308,0.0056836867384845394,0.040576171875,0.5679769240319729,73.25028886795045,14.511292457580566,6.802264213562012,0.00974346324801445,0.22613267600536346,0.0,0.25439634919166565,0.25620606541633606,0.2584274411201477,-1.501906394958496,-1.4985032081604004,-1.494351863861084,0.0,1.0
5120,5,9,140.91163727135628,126.55555555555556,-0.00614628626499325,101.29720687866211,-0.23912057057023048,0.003447896899888292,0.0416748046875,0.5453513614833355,83.98110961914062,13.897846221923828,8.024735450744629,0.006370955612510443,0.22744795680046082,0.0,0.2528635263442993,0.2562927305698395,0.25914594531059265,-1.5047829151153564,-1.498327374458313,-1.493006944656372,0.0,1.0
6144,6,7,155.15089315894323,130.71428571428572,-0.005937180219916627,94.43077163696289,-0.23822809979319573,0.007452937128255144,0.0494140625,0.5476555295288563,102.26925849914551,14.111494064331055,6.25545597076416,0.00794470775872469,0.228883758187294,0.0,0.2546902596950531,0.25610193610191345,0.2569878399372101,-1.5013550519943237,-1.4987210035324097,-1.4970479011535645,0.0,1.0
7168,7,8,151.9502274727422,124.375,-0.0061382092768326405,83.41723260879516,-0.2367534376680851,0.0051332514063688,0.0515380859375,0.5042637340724468,106.6630781173706,13.012813568115234,6.651097297668457,0.007563907653093338,0.22625257074832916,0.0,0.257089763879776,0.25740063190460205,0.25754880905151367,-1.4968570470809937,-1.4962859153747559,-1.4959971904754639,0.0,1.0
8192,8,8,150.8293878553305,136.625,-0.007622967520728707,68.79516334533692,-0.2325723722577095,0.007429256012255791,0.060888671875,0.5307355530560016,92.31107711791992,12.275358200073242,6.33163595199585,0.0020428465213626623,0.22926472127437592,0.0,0.2556522786617279,0.2568107545375824,0.2587149739265442,-1.4995510578155518,-1.4973992109298706,-1.4938135147094727,0.0,1.0
9216,9,7,152.42280882562105,133.14285714285714,-0.0057077796082012355,87.90659961700439,-0.23294491767883302,0.0036795371590415014,0.040966796875,0.49237825348973274,110.56194896697998,11.809978485107422,8.09928035736084,0.004408130422234535,0.2310916632413864,0.0,0.25655847787857056,0.2580825388431549,0.2608641982078552,-1.4978525638580322,-1.4949792623519897,-1.4897925853729248,0.0,1.0
10240,10,9,161.34071532010267,140.0,-0.006759242073167115,76.54227275848389,-0.22774363532662392,0.0042198433613521045,0.05126953125,0.5700768582522869,95.74258575439453,10.567949295043945,8.89937686920166,0.0044891671277582645,0.23381569981575012,0.0,0.2561792731285095,0.25789427757263184,0.25934773683547974,-1.4985631704330444,-1.4953436851501465,-1.4926292896270752,0.0,1.0
11264,11,8,138.83516415722013,116.25,-0.0055002604669425635,82.80923233032226,-0.22908678501844407,0.004917281492089387,0.038720703125,0.5065506659448147,115.48060054779053,12.013858795166016,7.080108642578125,-0.0014953319914638996,0.23331308364868164,0.0,0.25562337040901184,0.2581445276737213,0.26051875948905945,-1.4996051788330078,-1.4948601722717285,-1.49043869972229,0.0,1.0
12288,12,8,153.37550199390958,137.125,-0.006868515600217506,62.17932548522949,-0.2271510422229767,0.006842706339375582,0.0669189453125,0.5202984318137169,86.16324224472046,9.141914367675781,8.698342323303223,-0.0027348333969712257,0.23401369154453278,0.0,0.2550019323825836,0.25821951031684875,0.26022371649742126,-1.5007704496383667,-1.494740605354309,-1.490990400314331,0.0,1.0
