total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.004660055719432421,130.16953620910644,-0.24021963849663736,0.005925112112890929,0.03623046875,0.5448855698108673,61.957833480834964,16.48536491394043,5.570882797241211,0.016382794827222824,0.2253934144973755,0.0,0.25488510727882385,0.2565864622592926,0.2585861086845398,-1.500989556312561,-1.497817873954773,-1.4940547943115234,0.0,1.0
2048,2,9,144.04041309995813,146.44444444444446,-0.004127144301310182,142.8263038635254,-0.23796206191182137,0.004582882997056004,0.035546875,0.5767792247235775,50.01522045135498,14.819114685058594,10.148188591003418,0.010822535492479801,0.22835883498191833,0.0,0.2548007071018219,0.25579914450645447,0.25684648752212524,-1.5011478662490845,-1.4992669820785522,-1.4973127841949463,0.0,1.0
3072,3,8,178.41557471514244,161.875,-0.004924275446683168,110.55023651123047,-0.2426955409348011,0.005189114692620933,0.048681640625,0.5750994000583887,49.789219570159915,12.52719497680664,9.880207061767578,0.012275750748813152,0.22897088527679443,0.0,0.2532736361026764,0.2553764879703522,0.25746259093284607,-1.5040130615234375,-1.5000520944595337,-1.4961585998535156,0.0,1.0
4096,4,6,149.98508335693847,160.5,-0.004867427161661908,91.13214874267578,-0.2432083711028099,0.0033657054882496595,0.0427490234375,0.6323187127709389,71.36943101882935,10.775198936462402,10.271121978759766,0.014927049167454243,0.22664019465446472,0.0,0.25130683183670044,0.25550857186317444,0.2591623067855835,-1.507706642150879,-1.4998422861099243,-1.4929763078689575,0.0,1.0
5120,5,6,152.64132686742474,144.33333333333334,-0.0030651051842141897,102.97474117279053,-0.24161532148718834,0.003391278733033687,0.0375244140625,0.5949731543660164,98.31718673706055,14.08247184753418,8.497471809387207,0.0243536327034235,0.22657479345798492,0.0,0.24979940056800842,0.25596073269844055,0.26083904504776,-1.5105397701263428,-1.4989781379699707,-1.4898396730422974,0.0,1.0
6144,6,7,156.9888929138529,156.42857142857142,-0.003547415742650628,86.50946855545044,-0.24114982262253762,0.00469108228571713,0.029248046875,0.6188544221222401,97.81626796722412,11.395589828491211,9.763957977294922,0.02152235619723797,0.22596748173236847,0.0,0.24808043241500854,0.2554575502872467,0.26147645711898804,-1.5137732028961182,-1.4999184608459473,-1.4886479377746582,0.0,1.0
7168,7,6,162.14123190363281,157.66666666666666,-0.003262853698106483,87.58655891418456,-0.24142361357808112,0.0038650730828521775,0.0225830078125,0.5789589829742908,98.34929237365722,11.920248031616211,8.921675682067871,0.015694525092840195,0.2258526235818863,0.0,0.25065967440605164,0.2562927007675171,0.26271599531173706,-1.5089226961135864,-1.4983373880386353,-1.4863317012786865,0.0,1.0
8192,8,5,170.47040899469573,154.0,-0.004749850690132007,90.16022682189941,-0.23287145122885705,0.004094055441964883,0.0669677734375,0.5812264859676362,122.27954082489013,13.665626525878906,7.540198802947998,0.019874759018421173,0.22462058067321777,0.0,0.252122163772583,0.2581944465637207,0.26471465826034546,-1.5061750411987305,-1.4948176145553589,-1.4825999736785889,0.0,1.0
9216,9,7,206.1269976590439,189.57142857142858,-0.004671798995696008,58.99276866912842,-0.2261235997080803,0.004360349639318884,0.036767578125,0.5753316298127175,83.54930534362794,9.051567077636719,8.711431503295898,0.017737681046128273,0.22756427526474,0.0,0.25315940380096436,0.25863245129585266,0.26510751247406006,-1.5042275190353394,-1.4939613342285156,-1.4818669557571411,0.0,1.0
10240,10,5,184.95817745549124,182.6,-0.004633682197891176,55.660518169403076,-0.2267722874879837,0.0060538558478583585,0.0560302734375,0.6692229211330414,96.64442710876465,11.975446701049805,6.656826019287109,0.025781219825148582,0.2255399376153946,0.0,0.25228309631347656,0.25789397954940796,0.2654440701007843,-1.5058727264404297,-1.4953614473342896,-1.4812390804290771,0.0,1.0
11264,11,5,207.63318570304887,208.0,-0.006943629798479378,90.39543533325195,-0.22997937947511674,0.00851565391640179,0.0581298828125,0.5446405597031116,92.91396064758301,10.439340591430664,9.8951416015625,0.02655252069234848,0.22327417135238647,0.0,0.2503170669078827,0.2578922212123871,0.26846376061439514,-1.5095666646957397,-1.4953975677490234,-1.4756104946136475,0.0,1.0
12288,12,5,180.0282350364598,179.2,-0.005120327946497127,73.86826038360596,-0.22675064951181412,0.007084079497144557,0.0568603515625,0.541163420677185,91.51429805755615,9.628536224365234,9.140776634216309,0.015008884482085705,0.22201861441135406,0.0,0.2517522871494293,0.2589726746082306,0.2690361738204956,-1.5068697929382324,-1.49334716796875,-1.4745445251464844,0.0,1.0
13312,13,5,223.86881441701001,219.8,-0.0035176937701180576,96.65319881439208,-0.22199248373508454,0.004533089033793658,0.0357177734375,0.5314207311719656,117.76852455139161,11.085773468017578,9.805665016174316,0.025619907304644585,0.22251856327056885,0.0,0.25314101576805115,0.2593640387058258,0.2678217589855194,-1.5042619705200195,-1.4925994873046875,-1.476806402206421,0.0,1.0
