total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
1024,1,0,,,-0.007509450410725549,131.17632484436035,-0.24444350898265838,0.003950792871182785,0.061767578125,0.5483587302267552,65.53648147583007,16.94467544555664,4.904170513153076,0.03829379752278328,0.2209193855524063,0.0,0.25356271862983704,0.25496432185173035,0.2566313147544861,-1.503470540046692,-1.5008379220962524,-1.497715950012207,0.0,1.0
2048,2,8,180.0703732607534,188.875,-0.004570140573196113,120.97376308441162,-0.24719447493553162,0.002793669937818777,0.0354248046875,0.5895681761205196,44.06259117126465,11.765426635742188,11.7509765625,0.03429998829960823,0.22189906239509583,0.0,0.25165805220603943,0.25447550415992737,0.2580072581768036,-1.5070466995239258,-1.5017691850662231,-1.4951386451721191,0.0,1.0
3072,3,5,166.5475914351458,153.0,-0.00348800253123045,114.45058689117431,-0.24763159453868866,0.0021163252677069977,0.0298583984375,0.5745802536606789,64.95098533630372,13.836803436279297,8.887555122375488,0.03724409267306328,0.21979892253875732,0.0,0.2525827884674072,0.2549077570438385,0.2585408091545105,-1.50531005859375,-1.5009384155273438,-1.4941396713256836,0.0,1.0
4096,4,8,188.50877994158043,185.5,-0.004389152571093291,96.09515476226807,-0.24957586228847503,0.0020429156138561666,0.04208984375,0.6756177738308906,54.144611549377444,10.977049827575684,10.829907417297363,0.039540186524391174,0.2224518209695816,0.0,0.2488478422164917,0.25327685475349426,0.25805389881134033,-1.512329339981079,-1.5040005445480347,-1.4950512647628784,0.0,1.0
5120,5,6,135.7298869573796,141.66666666666666,-0.004229095776099712,100.63223857879639,-0.25614459440112114,0.004758469018270262,0.043505859375,0.5852759201079607,70.7285574913025,11.162906646728516,10.70146656036377,0.040517713874578476,0.2204735428094864,0.0,0.24853800237178802,0.25335708260536194,0.2576088309288025,-1.5129122734069824,-1.5038541555404663,-1.495884656906128,0.0,1.0
6144,6,3,155.67955623583944,187.0,-0.004034274735022336,96.22333450317383,-0.25220075249671936,0.002870486407482531,0.035595703125,0.5816956132650375,113.67976799011231,13.207380294799805,7.706226348876953,0.03531960770487785,0.22068935632705688,0.0,0.24801422655582428,0.2543332576751709,0.2578604519367218,-1.5138977766036987,-1.502029538154602,-1.4954135417938232,0.0,1.0
7168,7,6,187.54370269137192,173.33333333333334,-0.005430503084789961,94.27838096618652,-0.24764734730124474,0.004301214597944636,0.037841796875,0.6037707708775997,82.83674983978271,13.209938049316406,8.090531349182129,0.02902972139418125,0.22098201513290405,0.0,0.2459184229373932,0.254827618598938,0.26165473461151123,-1.5178437232971191,-1.5010992288589478,-1.4883148670196533,0.0,1.0
8192,8,7,181.23447582204412,173.28571428571428,-0.007374972372781485,73.65489549636841,-0.24526456892490386,0.009286542813060805,0.05576171875,0.5556968308985233,95.7300687789917,11.853446006774902,9.106465339660645,0.04037943854928017,0.2214077115058899,0.0,0.24780961871147156,0.255539208650589,0.26194122433662415,-1.5142828226089478,-1.4997620582580566,-1.4877793788909912,0.0,1.0
9216,9,5,170.78088856864764,175.2,-0.005469398846616969,92.9777099609375,-0.24084762409329413,0.004626857490802649,0.042333984375,0.604267343506217,116.19272518157959,12.095457077026367,9.583261489868164,0.036977604031562805,0.22274841368198395,0.0,0.24945369362831116,0.2561911940574646,0.2629703879356384,-1.5111899375915527,-1.4985356330871582,-1.485856533050537,0.0,1.0
10240,10,7,216.92015668968298,189.57142857142858,-0.0040544966701418165,76.40289239883423,-0.23792129158973693,0.0064541305706370625,0.038134765625,0.5528275221586227,100.60097236633301,12.087319374084473,8.091434478759766,0.038946036249399185,0.22039777040481567,0.0,0.25031280517578125,0.2565051317214966,0.26360705494880676,-1.5095746517181396,-1.4979819059371948,-1.4846675395965576,0.0,1.0
